time,x,y,yaw,speed,steer,mission_state
1,12.8,5.0,1.57,9.0,0.15,LANE_FOLLOWING
2,13.3,5.2,1.57,9.5,0.15,LANE_FOLLOWING
3,13.8,5.4,1.57,10.0,0.15,LANE_FOLLOWING
4,14.3,5.6000000000000005,1.57,10.5,0.15,LANE_FOLLOWING
5,14.8,5.800000000000001,1.57,11.0,0.15,LANE_FOLLOWING
6,15.3,6.000000000000001,1.57,11.5,0.15,LANE_FOLLOWING
7,15.8,6.200000000000001,1.57,12.0,0.15,LANE_FOLLOWING
8,16.3,6.400000000000001,1.57,12.5,0.15,LANE_FOLLOWING
9,16.8,6.600000000000001,1.57,13.0,0.15,LANE_FOLLOWING
10,17.3,6.800000000000002,1.57,13.5,0.15,LANE_FOLLOWING
11,17.8,7.000000000000002,1.57,14.0,0.15,LANE_FOLLOWING
12,18.3,7.200000000000002,1.57,14.5,0.15,LANE_FOLLOWING
13,18.8,7.400000000000002,1.57,15.0,0.15,LANE_FOLLOWING
14,19.3,7.600000000000002,1.57,15.5,0.15,LANE_FOLLOWING
15,19.8,7.8000000000000025,1.57,16.0,0.15,LANE_FOLLOWING
16,20.3,8.000000000000002,1.57,16.5,0.15,LANE_FOLLOWING
17,20.8,8.200000000000001,1.57,17.0,0.15,LANE_FOLLOWING
18,21.3,8.4,1.57,17.5,0.15,LANE_FOLLOWING
19,21.8,8.6,1.57,18.0,0.15,LANE_FOLLOWING
20,22.3,8.799999999999999,1.57,18.5,0.15,LANE_FOLLOWING
21,22.8,8.999999999999998,1.57,19.0,0.15,LANE_FOLLOWING
22,23.3,9.199999999999998,1.57,19.5,0.15,LANE_FOLLOWING
23,23.8,9.399999999999997,1.57,20.0,0.15,LANE_FOLLOWING
24,24.3,9.599999999999996,1.57,20.0,0.15,LANE_FOLLOWING
25,24.8,9.799999999999995,1.57,20.0,0.15,LANE_FOLLOWING
26,25.3,9.999999999999995,1.57,20.0,0.15,LANE_FOLLOWING
27,25.8,10.199999999999994,1.57,20.0,0.15,LANE_FOLLOWING
28,26.3,10.399999999999993,1.57,20.0,0.15,LANE_FOLLOWING
29,26.8,10.599999999999993,1.57,20.0,0.15,LANE_FOLLOWING
30,27.3,10.799999999999992,1.57,20.0,0.15,LANE_FOLLOWING
31,27.8,10.999999999999991,1.57,20.0,0.15,LANE_FOLLOWING
32,28.3,11.19999999999999,1.57,20.0,0.15,LANE_FOLLOWING
33,28.8,11.39999999999999,1.57,20.0,0.15,LANE_FOLLOWING
34,29.3,11.599999999999989,1.57,20.0,0.15,LANE_FOLLOWING
35,29.8,11.799999999999988,1.57,20.0,0.15,LANE_FOLLOWING
36,30.3,11.999999999999988,1.57,20.0,0.15,LANE_FOLLOWING
37,30.8,12.199999999999987,1.57,20.0,0.15,LANE_FOLLOWING
38,31.3,12.399999999999986,1.57,20.0,0.15,LANE_FOLLOWING
39,31.8,12.599999999999985,1.57,20.0,0.15,LANE_FOLLOWING
40,32.3,12.799999999999985,1.57,20.0,0.15,LANE_FOLLOWING
41,32.8,12.999999999999984,1.57,20.0,0.15,LANE_FOLLOWING
42,33.3,13.199999999999983,1.57,20.0,0.15,LANE_FOLLOWING
43,33.8,13.399999999999983,1.57,20.0,0.15,LANE_FOLLOWING
44,34.3,13.599999999999982,1.57,20.0,0.15,LANE_FOLLOWING
45,34.8,13.799999999999981,1.57,20.0,0.15,LANE_FOLLOWING
46,35.3,13.99999999999998,1.57,20.0,0.15,LANE_FOLLOWING
47,35.8,14.19999999999998,1.57,20.0,0.15,LANE_FOLLOWING
48,36.3,14.399999999999979,1.57,20.0,0.15,LANE_FOLLOWING
49,36.8,14.599999999999978,1.57,20.0,0.15,LANE_FOLLOWING
50,37.3,14.799999999999978,1.57,18.5,0.15,APPROACHING_STOP
51,37.8,14.999999999999977,1.57,17.0,0.15,APPROACHING_STOP
52,38.3,15.199999999999976,1.57,15.5,0.15,APPROACHING_STOP
53,38.8,15.399999999999975,1.57,14.0,0.15,APPROACHING_STOP
54,39.3,15.599999999999975,1.57,12.5,0.15,APPROACHING_STOP
55,39.8,15.799999999999974,1.57,11.0,0.15,APPROACHING_STOP
56,40.3,15.999999999999973,1.57,9.5,0.15,APPROACHING_STOP
57,40.8,16.199999999999974,1.57,8.0,0.15,APPROACHING_STOP
58,41.3,16.399999999999974,1.57,6.5,0.15,APPROACHING_STOP
59,41.8,16.599999999999973,1.57,5.0,0.15,APPROACHING_STOP
60,42.3,16.799999999999972,1.57,3.5,0.15,APPROACHING_STOP
61,42.8,16.99999999999997,1.57,2.0,0.15,APPROACHING_STOP
62,43.3,17.19999999999997,1.57,0.5,0.15,APPROACHING_STOP
63,43.8,17.39999999999997,1.57,0.0,0.15,APPROACHING_STOP
64,44.3,17.59999999999997,1.57,0.0,0.15,STOPPED
65,44.8,17.79999999999997,1.57,0.0,0.15,STOPPED
66,45.3,17.999999999999968,1.57,0.0,0.15,STOPPED
67,45.8,18.199999999999967,1.57,0.0,0.15,STOPPED
68,46.3,18.399999999999967,1.57,0.0,0.15,STOPPED
69,46.8,18.599999999999966,1.57,0.0,0.15,STOPPED
70,47.3,18.799999999999965,1.57,0.0,0.15,STOPPED
71,47.8,18.999999999999964,1.57,0.0,0.15,STOPPED
72,48.3,19.199999999999964,1.57,0.0,0.15,STOPPED
73,48.8,19.399999999999963,1.57,0.0,0.15,STOPPED
74,49.3,19.599999999999962,1.57,0.0,0.15,STOPPED
75,49.8,19.79999999999996,1.57,0.0,0.15,STOPPED
76,50.3,19.99999999999996,1.57,0.0,0.15,STOPPED
77,50.8,20.19999999999996,1.57,0.0,0.15,STOPPED
78,51.3,20.39999999999996,1.57,0.0,0.15,STOPPED
79,51.8,20.59999999999996,1.57,0.0,0.15,STOPPED
80,52.3,20.799999999999958,1.57,0.0,0.15,STOPPED
81,52.8,20.999999999999957,1.57,0.0,0.15,STOPPED
82,53.3,21.199999999999957,1.57,0.0,0.15,STOPPED
83,53.8,21.399999999999956,1.57,0.0,0.15,STOPPED
84,54.3,21.599999999999955,1.57,0.0,0.15,STOPPED
85,54.8,21.799999999999955,1.57,0.0,0.15,STOPPED
86,55.3,21.999999999999954,1.57,0.0,0.15,STOPPED
87,55.8,22.199999999999953,1.57,0.0,0.15,STOPPED
88,56.3,22.399999999999952,1.57,0.0,0.15,STOPPED
89,56.8,22.59999999999995,1.57,0.0,0.15,STOPPED
90,57.3,22.79999999999995,1.57,0.0,0.15,STOPPED
91,57.8,22.99999999999995,1.57,0.0,0.15,STOPPED
92,58.3,23.19999999999995,1.57,0.0,0.15,STOPPED
93,58.8,23.39999999999995,1.57,0.0,0.15,STOPPED
94,59.3,23.599999999999948,1.57,0.0,0.15,STOPPED
95,59.8,23.799999999999947,1.57,0.0,0.15,STOPPED
96,60.3,23.999999999999947,1.57,0.0,0.15,STOPPED
97,60.8,24.199999999999946,1.57,0.0,0.15,STOPPED
98,61.3,24.399999999999945,1.57,0.0,0.15,STOPPED
99,61.8,24.599999999999945,1.57,0.0,0.15,STOPPED
100,62.3,24.799999999999944,1.57,0.0,0.15,STOPPED
1,12.8,5.0,1.57,9.0,0.15,LANE_FOLLOWING
2,13.3,5.2,1.57,9.5,0.15,LANE_FOLLOWING
3,13.8,5.4,1.57,10.0,0.15,LANE_FOLLOWING
4,14.3,5.6000000000000005,1.57,10.5,0.15,LANE_FOLLOWING
5,14.8,5.800000000000001,1.57,11.0,0.15,LANE_FOLLOWING
6,15.3,6.000000000000001,1.57,11.5,0.15,LANE_FOLLOWING
7,15.8,6.200000000000001,1.57,12.0,0.15,LANE_FOLLOWING
8,16.3,6.400000000000001,1.57,12.5,0.15,LANE_FOLLOWING
9,16.8,6.600000000000001,1.57,13.0,0.15,LANE_FOLLOWING
10,17.3,6.800000000000002,1.57,13.5,0.15,LANE_FOLLOWING
11,17.8,7.000000000000002,1.57,14.0,0.15,LANE_FOLLOWING
12,18.3,7.200000000000002,1.57,14.5,0.15,LANE_FOLLOWING
13,18.8,7.400000000000002,1.57,15.0,0.15,LANE_FOLLOWING
14,19.3,7.600000000000002,1.57,15.5,0.15,LANE_FOLLOWING
15,19.8,7.8000000000000025,1.57,16.0,0.15,LANE_FOLLOWING
16,20.3,8.000000000000002,1.57,16.5,0.15,LANE_FOLLOWING
17,20.8,8.200000000000001,1.57,17.0,0.15,LANE_FOLLOWING
18,21.3,8.4,1.57,17.5,0.15,LANE_FOLLOWING
19,21.8,8.6,1.57,18.0,0.15,LANE_FOLLOWING
20,22.3,8.799999999999999,1.57,18.5,0.15,LANE_FOLLOWING
21,22.8,8.999999999999998,1.57,19.0,0.15,LANE_FOLLOWING
22,23.3,9.199999999999998,1.57,19.5,0.15,LANE_FOLLOWING
23,23.8,9.399999999999997,1.57,20.0,0.15,LANE_FOLLOWING
